Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
162884,1.730180975,-0.637706602,-0.668155336,1.63885267,-0.517653874,-0.027276008,-0.309289891,0.108109305,1.146097143,0.217061297,0.065472274,0.612049724,-1.570550864,0.158067566,-1.915280869,-0.554808678,-0.07027831,0.382013956,0.040463058,-0.199094493,0.351438617,1.198543829,-0.166916249,0.04599131,0.340976314,-0.271024107,0.020334162,-0.047259376,94.83,0
63715,1.168227847,0.403452221,0.753107337,2.199465561,0.007605453,0.505617358,-0.296246123,0.153380552,-0.754285677,0.821567369,0.468074245,0.63073013,0.837564099,0.087199831,0.051960128,1.340573996,-1.347966198,0.784625193,-0.625332882,-0.047449186,0.149272031,0.408165041,-0.185731604,-0.479327727,0.535810228,0.128464106,0.011231436,0.013606663,10.62,0
30685,1.38315913,-0.571260569,0.183638884,-0.422228004,-1.159544597,-1.318499349,-0.364922346,-0.225482504,-0.532446726,0.625598985,-0.480690319,-1.256143618,-1.693922453,0.148642076,-0.074572712,0.507503893,0.83431547,-1.566730387,0.699805956,-0.05111518,0.158516605,0.410374902,-0.112205115,0.731687355,0.686418081,-0.08120158,-0.021397989,0.005390313,20,0
1793,-1.146017184,0.870200131,1.072723443,0.973174215,1.375316356,-0.03062225,-1.940587354,-2.364536706,-0.880526574,-0.263148624,0.927277877,0.601784804,-1.011314812,1.171871316,0.625381268,-0.027606006,-0.053744522,0.084994395,0.31730669,0.437130475,-1.254863343,0.060186593,-2.042277126,-0.244698483,-1.168242518,-0.573557864,0.309773065,0.233599485,70,0
156425,-0.217461223,0.509286659,-0.091714036,-0.754614258,1.37880984,-0.894773327,0.870576993,-0.195239643,-0.141016452,-0.664369007,-1.264400513,-0.177861653,0.049444847,0.399440555,0.306984002,-0.14720018,-0.75198999,0.253103132,-0.237480179,-0.068481545,0.384973861,1.081948021,-0.188746415,0.509589238,-0.358118442,-0.265898816,0.187673571,0.225735259,0.79,0
41409,1.096194414,0.195973282,0.223107125,1.106139003,-0.07253387,-0.460633524,0.262774385,-0.150511167,-0.138406048,-0.076049223,-0.046034258,0.665361745,0.719486188,0.284213521,1.098021733,-0.270889757,-0.187708368,-0.679545899,-0.751645356,-0.017626103,0.096646427,0.272308364,-0.126319607,0.109354383,0.619471823,-0.307001675,0.024693068,0.028036944,58.97,0
75163,-4.569173163,-11.15444033,-2.036365015,1.553456225,-5.21723335,0.977622669,2.479768248,-0.655557461,-1.310485709,-0.284668378,-0.305552936,-0.180273493,0.711655896,-0.298994198,-0.225895404,-0.805548252,1.515034429,-0.1847585,-1.387852695,5.850926247,1.565312969,-1.805218089,-2.525641115,0.748455082,-1.002475681,-0.573420467,-0.484181116,0.56724739,3085.14,0
140937,1.808098465,-0.132037467,-2.818150782,0.519017171,1.004936323,-1.013374239,1.013671061,-0.542938505,-0.089087982,-0.442782202,-0.510911417,0.587359837,1.171422291,-0.846343637,-0.223758628,-0.247803198,0.678872183,-0.333273101,-0.054110716,0.249146525,0.130293538,0.246407022,-0.210442816,0.438995482,0.405466814,0.680149542,-0.12453308,-0.023485904,171,0
122783,2.128330433,0.459888369,-3.65029205,0.374497018,1.64474048,-0.706666565,0.541889221,-0.126817517,0.15630256,-0.821424397,0.505488959,-1.085948209,-2.264304443,-1.853923934,-0.344140759,0.865124211,1.731635912,1.553060249,0.31649224,-0.225253197,-0.104347389,-0.221766376,-0.149575895,-0.585486934,0.421328914,0.737354082,-0.097526146,-0.038555076,0.76,0
48147,-0.200602733,0.607359195,2.142485501,0.885365099,0.188602873,0.492941168,0.282952548,-0.099969945,0.206520582,-0.266285362,-1.303150573,0.678463251,1.827474811,-0.986577598,0.182218647,-0.215375566,-0.51079175,0.247119548,0.900520909,0.233865417,-0.012037248,0.415287057,-0.201831907,-0.408547908,-0.381961998,-0.396976366,0.074741594,-0.044755874,12.99,0
